School Name,School Level,ClusterID,Clusters,Title,SchoolLevel
Mckinley CES,Elementary,1,Cluster 1,CFSS,Both
FTAMES,Elementary,1,Cluster 2,DORP,Both
MTVES,Elementary,1,Cluster 3,Early Registration/Oplan Balik Eskwela,Both
Daniel T. Anog NHS,Secondary,1,Cluster 4,ALS (For school-based ALS),Select Schools
P. Zamora ES,Elementary,1,Cluster 5,IPED,Both
T. Hill ES,Elementary,1,Cluster 6,Kindergarten Education,Elementary
T. Hill NHS,Secondary,1,Cluster 7,Inclusive Education for LDS,Both
Bakid ES,Elementary,1,Cluster 8,Learning Resource Materials Development and QA for LDS,Both
Bakid NHS,Secondary,1,Cluster 9,Adopt-a-School for LDS,Both
Mabunga ES,Elementary,1,Cluster 10,Alternative Delivery Modality for LDS,Both
Mabunga NHS,Secondary,1,,Curriculum/Learning Area Programs,Both
GSCS,Elementary,2,,Curricular Support Programs,Both
GNHS-POBLACION,Secondary,2,,Reading Remediation,Both
Buenavista ES,Elementary,3,,Instructional Supervisory Program,Both
Agulang ES,Elementary,3,,Continuing Professional Development for Teachers,Both
Magsaysay ES,Elementary,3,,Learning Action Cells,Both
Malusay ES,Elementary,3,,Learning Outcomes Assessment Program,Both
Mandi-i ES,Elementary,3,,Learning Intervention Program,Both
Nagsaha ES,Elementary,3,,Learning Materials Development and Quality Assurance Program,Both
Planas ES,Elementary,3,,Basic Education Research Program,Both
Tominhao ES,Elementary,3,,Learning Resource Centers Program,Both
Villegas ES,Elementary,3,,Programs for SHS: Immersion,Secondary
Villegas NHS,Secondary,3,,National Certification,Secondary
Buenavista NHS,Secondary,3,,SHS Tracking,Secondary
Magsaysay NHS ,Secondary,3,,Child Protection Program,Both
Planas NHS,Secondary,3,,Youth Development Program/SSG/SPG,Both
Hinogpayan ES,Elementary,4,,DRRM,Both
Balogo ES,Elementary,4,,OK sa DepED,Both
Banwague ES,Elementary,4,,Enhanced School Sports,Both
Banwague NHS,Secondary,4,,Guidance and Counseling Program,Both
Dadiangao ES,Elementary,4,,Mental Health and Psychosocial Support,Both
Hinakpan ES,Elementary,4,,Fitness and Wellness,Both
Hinakpan NHS,Secondary,4,,Education in Emergencies (Alternative Delivery Modality),Both
Kapudlusan ES,Elementary,4,,School-Based Management Program,Both
Linantuyan ES,Elementary,4,,Client Feedback Program,Both
Luz ES,Elementary,4,,School Utilities and Services Maintenance Program,Both
Plagatasanon ES,Elementary,4,,School-Based Repair and Maintenance,Both
Taloto ES,Elementary,4,,Fiscal Management,Both
Balogo NHS,Secondary,4,,Performance Management Program,Both
GNAS,Secondary,4,,Procurement Management Program,Both
Linantuyan NHS,Secondary,4,,Adopt-a-School Program,Both
Calamba CES,Elementary,5,,PTA Affairs Management,Both
Calamba NHS,Secondary,5,,Development Planning Program,Both
Antibalas ES,Elementary,5,,Program Implementation Review,Both
Bonbon ES,Elementary,5,,PRAISE/Rewards and Incentives,Both
Humayhumay ES,Elementary,5,,"EBEIS, LIS, School Information Management Program",Both
Imelda ES,Elementary,5,,Crucial Resources Inventory Program,Both
Lag-asan ES,Elementary,5,,Office Management (incl. Records) and Housekeeping Program,Both
Lip-o ES,Elementary,5,,"Advocacy, Info Education and Communications Program",Both
Sandayao ES,Elementary,5,,Gender and Development (GAD),Both
Sandayao NHS,Secondary,5,,,
Lip-o NHS,Secondary,5,,,
Basak CES,Elementary,6,,,
Binobohan ES,Elementary,6,,,
Bulado ES,Elementary,6,,,
Laos ES,Elementary,6,,,
Maculos ES,Elementary,6,,,
Matu-og ES,Elementary,6,,,
Magkanaway ES,Elementary,6,,,
Binobohan NHS,Secondary,6,,,
Maculos NHS,Secondary,6,,,
DPVMES,Elementary,7,,,
Hilaitan ES,Elementary,7,,,
Busay ES,Elementary,7,,,
Cabal-asan ES,Elementary,7,,,
PSLMES,Elementary,7,,,
GNHS-Hilaitan (JHS),Secondary,7,,,
GSVS NHS,Secondary,7,,,
Maniak ES,Elementary,7,,,
JBES,Elementary,7,,,
Calabaclabacan CES,Elementary,8,,,
Benil-iwan ES,Elementary,8,,,
Bongao ES,Elementary,8,,,
Budlasan ES,Elementary,8,,,
Panagtugas ES,Elementary,8,,,
Trinidad ES,Elementary,8,,,
Trinidad NHS,Secondary,8,,,
Calupaan ES,Elementary,8,,,
Maximina LTHS,Secondary,8,,,
VCES,Elementary,9,,,
Banban ES,Elementary,9,,,
Don Esperidion VES,Elementary,9,,,
Don Julian DVVMES,Elementary,9,,,
Guba ES,Elementary,9,,,
Malangsa ES,Elementary,9,,,
Mampayao ES (Malangsa Ext.),Elementary,9,,,
Molobolo ES,Elementary,9,,,
Puan ES,Elementary,9,,,
Tabon ES,Elementary,9,,,
Guba NHS,Secondary,9,,,
VNHS (JHS),Secondary,9,,,
Don Vicente Lopez SMES,Elementary,10,,,
Bairan ES,Elementary,10,,,
Cabulihan ES,Elementary,10,,,
DAPMES,Elementary,10,,,
Macapso ES,Elementary,10,,,
Maglahos ES,Elementary,10,,,
Paliran ES,Elementary,10,,,
Pinucauan ES,Elementary,10,,,
Putian ES,Elementary,10,,,
Tolotolo  ES,Elementary,10,,,
Ulay ES,Elementary,10,,,
Pinucauan NHS,Secondary,10,,,
Rafaela R.Labang NHS,Secondary,10,,,
Tagbino NHS (SHS),Secondary,10,,,
